text,image_path,emotion,intensity,intent
Can someone support me with this? I am feeling uncertain.,data/presentation_images/anxious_seeking_help_035.png,4,0.586,4
Can someone support me with this? I am feeling uncertain.,data/presentation_images/anxious_seeking_help_029.png,4,0.566,4
Can someone support me with this? I am feeling uncertain.,data/presentation_images/anxious_seeking_help_003.png,4,0.919,4
Can someone support me with this? I am feeling uncertain.,data/presentation_images/anxious_seeking_help_032.png,4,0.712,4
I am stressed and looking for practical help.,data/presentation_images/anxious_seeking_help_008.png,4,0.579,4
"Thank you, I feel hopeful about what comes next.",data/presentation_images/hopeful_gratitude_001.png,5,0.577,5
"Thank you, I feel hopeful about what comes next.",data/presentation_images/hopeful_gratitude_027.png,5,0.556,5
"Thank you, I feel hopeful about what comes next.",data/presentation_images/hopeful_gratitude_018.png,5,0.924,5
"Thank you, I feel hopeful about what comes next.",data/presentation_images/hopeful_gratitude_025.png,5,0.712,5
I really appreciate this help and I feel positive now.,data/presentation_images/hopeful_gratitude_012.png,5,0.728,5
I am thankful and optimistic after this progress.,data/presentation_images/hopeful_gratitude_020.png,5,0.813,5
"Thank you, I feel hopeful about what comes next.",data/presentation_images/hopeful_gratitude_033.png,5,0.613,5
"This kindness helped me a lot, and I feel hopeful.",data/presentation_images/hopeful_gratitude_011.png,5,0.854,5
"This kindness helped me a lot, and I feel hopeful.",data/presentation_images/hopeful_gratitude_021.png,5,0.884,5
I am grateful for the support I received today.,data/presentation_images/hopeful_gratitude_006.png,5,0.761,5
I really appreciate this help and I feel positive now.,data/presentation_images/hopeful_gratitude_000.png,5,0.583,5
"This kindness helped me a lot, and I feel hopeful.",data/presentation_images/hopeful_gratitude_016.png,5,0.77,5
"This kindness helped me a lot, and I feel hopeful.",data/presentation_images/hopeful_gratitude_036.png,5,0.679,5
I am thankful and optimistic after this progress.,data/presentation_images/hopeful_gratitude_022.png,5,0.938,5
I am grateful for the support I received today.,data/presentation_images/hopeful_gratitude_015.png,5,0.556,5
"Thank you, I feel hopeful about what comes next.",data/presentation_images/hopeful_gratitude_008.png,5,0.655,5
I really appreciate this help and I feel positive now.,data/presentation_images/hopeful_gratitude_028.png,5,0.722,5
I really appreciate this help and I feel positive now.,data/presentation_images/hopeful_gratitude_010.png,5,0.801,5
I really appreciate this help and I feel positive now.,data/presentation_images/hopeful_gratitude_023.png,5,0.825,5
I really appreciate this help and I feel positive now.,data/presentation_images/hopeful_gratitude_003.png,5,0.948,5
I am thankful and optimistic after this progress.,data/presentation_images/hopeful_gratitude_004.png,5,0.921,5
I really appreciate this help and I feel positive now.,data/presentation_images/hopeful_gratitude_005.png,5,0.799,5
I am grateful for the support I received today.,data/presentation_images/hopeful_gratitude_019.png,5,0.813,5
I am thankful and optimistic after this progress.,data/presentation_images/hopeful_gratitude_034.png,5,0.551,5
"Thank you, I feel hopeful about what comes next.",data/presentation_images/hopeful_gratitude_039.png,5,0.55,5
I am grateful for the support I received today.,data/presentation_images/hopeful_gratitude_029.png,5,0.584,5
I really appreciate this help and I feel positive now.,data/presentation_images/hopeful_gratitude_031.png,5,0.79,5
I really appreciate this help and I feel positive now.,data/presentation_images/hopeful_gratitude_038.png,5,0.637,5
"Thank you, I feel hopeful about what comes next.",data/presentation_images/hopeful_gratitude_007.png,5,0.925,5
I am thankful and optimistic after this progress.,data/presentation_images/hopeful_gratitude_030.png,5,0.898,5
